iter	Passed	Remaining
0	101	40363
1	132	26310
2	238	31612
3	360	35734
4	402	31764
5	417	27397
6	492	27656
7	603	29589
8	708	30763
9	821	32036
10	925	32720
11	989	31983
12	1092	32529
13	1199	33077
14	1307	33568
15	1374	32983
16	1476	33266
17	1530	32471
18	1633	32754
19	1744	33144
20	1852	33435
21	1960	33681
22	2064	33832
23	2169	33994
24	2198	32983
25	2302	33122
26	2407	33252
27	2513	33392
28	2619	33510
29	2726	33624
30	2831	33698
31	2935	33760
32	3040	33816
33	3144	33853
34	3250	33900
35	3357	33947
36	3479	34139
37	3589	34195
38	3698	34231
39	3808	34274
40	3914	34275
41	4023	34298
42	4138	34360
43	4203	34010
44	4298	33911
45	4411	33946
46	4515	33912
47	4620	33880
48	4726	33860
49	4835	33845
50	4939	33803
51	5045	33767
52	5152	33731
53	5257	33685
54	5365	33658
55	5472	33615
56	5578	33569
57	5692	33566
58	5798	33511
59	5903	33452
60	6007	33385
61	6112	33324
62	6214	33241
63	6318	33172
64	6423	33107
65	6526	33028
66	6630	32956
67	6659	32511
68	6763	32446
69	6792	32022
70	6896	31956
71	7002	31900
72	7107	31837
73	7211	31770
74	7316	31705
75	7423	31646
76	7528	31579
77	7634	31515
78	7741	31456
79	7846	31386
80	7953	31321
81	8059	31254
82	8164	31182
83	8269	31108
84	8374	31036
85	8479	30960
86	8584	30885
87	8688	30805
88	8793	30727
89	8898	30649
90	9005	30579
91	9113	30510
92	9221	30442
93	9339	30404
94	9449	30337
95	9554	30255
96	9659	30173
97	9764	30091
98	9870	30009
99	9974	29923
100	10080	29841
101	10190	29771
102	10296	29690
103	10411	29632
104	10516	29547
105	10621	29459
106	10727	29375
107	10834	29293
108	10940	29208
109	11047	29126
110	11100	28902
111	11204	28811
112	11309	28723
113	11415	28639
114	11481	28454
115	11587	28368
116	11691	28278
117	11804	28211
118	11909	28121
119	12015	28035
120	12092	27882
121	12118	27614
122	12223	27526
123	12330	27445
124	12383	27244
125	12496	27174
126	12599	27083
127	12706	27000
128	12812	26915
129	12916	26827
130	13022	26741
131	13127	26652
132	13235	26569
133	13340	26482
134	13446	26394
135	13550	26303
136	13656	26217
137	13764	26132
138	13870	26044
139	13975	25955
140	14083	25869
141	14193	25787
142	14300	25700
143	14424	25644
144	14538	25568
145	14645	25479
146	14801	25475
147	14958	25469
148	15072	25391
149	15179	25299
150	15295	25222
151	15399	25126
152	15505	25031
153	15611	24937
154	15717	24844
155	15826	24754
156	15934	24663
157	16041	24569
158	16148	24476
159	16257	24385
160	16366	24295
161	16486	24220
162	16592	24124
163	16700	24032
164	16808	23939
165	16915	23844
166	17024	23752
167	17130	23656
168	17240	23566
169	17349	23473
170	17455	23375
171	17560	23278
172	17666	23180
173	17772	23083
174	17881	22989
175	17987	22892
176	18095	22798
177	18203	22703
178	18327	22627
179	18434	22531
180	18538	22431
181	18664	22356
182	18795	22287
183	18902	22189
184	19007	22089
185	19114	21991
186	19217	21889
187	19324	21791
188	19430	21692
189	19533	21589
190	19637	21488
191	19743	21389
192	19850	21290
193	19957	21191
194	20072	21102
195	20177	21001
196	20284	20902
197	20393	20805
198	20499	20705
199	20604	20604
200	20711	20505
201	20820	20408
202	20927	20309
203	21031	20206
204	21137	20106
205	21244	20006
206	21352	19908
